elapsed_time,ax,ay,az,vibration
00:00:07.418,2340.0,-368.0,-18480.0,2247.19
00:00:07.450,2196.0,-380.0,-18328.0,2079.00
00:00:07.482,2380.0,-396.0,-18308.0,2082.30
00:00:07.514,2208.0,-384.0,-18304.0,2056.69
00:00:07.547,2148.0,-412.0,-18368.0,2113.76
00:00:07.579,2264.0,-436.0,-18276.0,2036.86
00:00:07.611,2200.0,-332.0,-18300.0,2050.76
00:00:07.643,2196.0,-356.0,-18380.0,2130.14
00:00:07.676,2252.0,-456.0,-18316.0,2075.56
00:00:07.708,2248.0,-320.0,-18308.0,2064.27
00:00:07.740,2252.0,-360.0,-18364.0,2121.07
00:00:07.772,2200.0,-392.0,-18372.0,2123.41
00:00:07.805,2316.0,-364.0,-18392.0,2156.82
00:00:07.837,2308.0,-368.0,-18400.0,2163.84
00:00:07.870,2092.0,-364.0,-18388.0,2126.20
00:00:07.902,2264.0,-360.0,-18524.0,2281.31
00:00:07.934,2300.0,-400.0,-18288.0,2052.40
00:00:07.966,2216.0,-400.0,-18264.0,2018.29
00:00:07.998,2256.0,-436.0,-18184.0,1944.60
00:00:08.031,2256.0,-384.0,-18436.0,2193.49
00:00:08.063,2268.0,-432.0,-18300.0,2061.07
00:00:08.095,2232.0,-280.0,-18372.0,2125.20
00:00:08.128,2260.0,-468.0,-18576.0,2334.82
00:00:08.160,2200.0,-396.0,-18348.0,2099.67
00:00:08.192,2260.0,-356.0,-18396.0,2153.72
00:00:08.223,2268.0,-464.0,-18360.0,2121.37
00:00:08.256,2308.0,-432.0,-18360.0,2125.54
00:00:08.287,2244.0,-328.0,-18284.0,2040.11
00:00:08.319,2224.0,-384.0,-18264.0,2018.92
00:00:08.352,2272.0,-400.0,-18368.0,2128.30
00:00:08.384,2348.0,-408.0,-18416.0,2185.56
00:00:08.416,2280.0,-264.0,-18268.0,2027.62
00:00:08.449,2288.0,-408.0,-18428.0,2189.98
00:00:08.481,2260.0,-436.0,-18320.0,2080.02
00:00:08.513,2268.0,-308.0,-18332.0,2090.33
00:00:08.545,2256.0,-436.0,-18304.0,2063.66
00:00:08.578,2248.0,-420.0,-18408.0,2165.51
00:00:08.610,2328.0,-272.0,-18300.0,2065.49
00:00:08.642,2324.0,-348.0,-18396.0,2161.48
00:00:08.675,2340.0,-268.0,-18428.0,2193.91
00:00:08.707,2384.0,-412.0,-18276.0,2051.44
00:00:08.739,2172.0,-424.0,-18396.0,2144.63
00:00:08.770,2332.0,-400.0,-18284.0,2052.46
00:00:08.803,2216.0,-472.0,-18376.0,2131.15
00:00:08.835,2344.0,-412.0,-18500.0,2268.46
