time_unit,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,acc_mag,mean_ax,std_ax,rms_ax,min_ax,max_ax,range_ax,mean_ay,std_ay,rms_ay,min_ay,max_ay,range_ay,mean_az,std_az,rms_az,min_az,max_az,range_az,mean_acc_mag,std_acc_mag,rms_acc_mag,energy_acc_mag
27455,220,-332,15100,-122,94,-93,15105.2515371311,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27456,172,-348,15112,-127,106,-108,15116.9848845595,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27457,152,-328,15024,-151,93,-116,15028.3486784144,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27458,72,-352,15176,-129,98,-123,15180.2524353187,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27459,156,-364,15032,-120,77,-121,15037.2156997231,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27460,92,-384,15008,-122,89,-121,15013.1936642408,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27461,192,-480,15076,-111,103,-124,15084.861285408,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27462,240,-392,15144,-145,97,-89,15150.9735660782,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27463,176,-252,15100,-134,85,-103,15103.1281528033,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27464,160,-320,15064,-103,84,-138,15068.24794062,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27465,164,-380,15248,-125,78,-112,15253.6159647475,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27466,148,-388,15092,-141,91,-88,15097.7121445602,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
