time,ax,ay,az,gx,gy,gz,sw420
23:58:24:904,-18.35693097,-31.91368312,2.588160108,-155.4628352,44.11583995,-114.9554477,0
23:58:25:156,30.0413554,-2.489446244,47.02920509,-164.216351,56.30596997,-113.4571039,0
23:58:25:408,-18.68190547,20.46217818,-10.67015186,-166.6839299,66.97828079,-106.2231526,0
23:58:25:660,-22.21763734,56.15617777,-3.532381708,-162.9632774,70.63091966,-113.2745397,0
23:58:25:913,19.62529008,-21.71112025,-23.2389844,-146.6797166,78.2703984,-118.7973312,0
23:58:26:165,-72.847135,-46.11825087,-36.2834948,-140.5783161,59.11124638,-130.6872314,0
23:58:26:417,-149.7172045,35.65541328,37.23503189,-160.9651964,41.21930569,-125.2453496,0
23:58:26:670,-23.50468684,6.750226947,-37.71110693,-163.1482997,56.78523285,-102.488849,0
23:58:26:922,68.23825711,-7.180358041,-91.84017121,-152.6015926,59.92198485,-113.7791002,0
23:58:27:174,26.54298952,9.640463995,-6.599606483,-159.9855043,54.62877603,-122.5222527,0
23:58:27:427,64.35748077,51.11884578,-15.39228425,-152.3944903,79.29664823,-111.091759,0
23:58:27:679,11.72798244,102.9953886,1.989836705,-161.4798412,77.00881753,-137.4824376,0
23:58:27:931,-100.0013788,25.60594392,-21.77757145,-177.3390102,56.5033901,-154.1391463,0
23:58:28:184,38.09603512,-44.83342296,-92.06547842,-160.4770257,60.93949667,-126.4487446,0
23:58:28:435,96.67743422,-73.49797087,25.0373459,-163.1526052,67.40996468,-103.2260983,0
23:58:28:688,-32.10692881,-31.3334484,47.2734545,-168.2663543,74.0597825,-106.6074467,0
23:58:28:941,-68.93245938,18.00199478,-107.1996536,-162.4892165,64.65729838,-127.0390375,0
23:58:29:194,-20.26346534,-47.48739378,-72.33804101,-162.2925752,87.97366239,-120.0857656,0
23:58:29:446,10.47719918,12.77170721,45.84741454,-157.9925017,104.5393382,-108.651857,0
23:58:29:704,-18.05362559,23.320106,35.63577969,-168.6144591,50.97305678,-127.9195195,0
23:58:29:950,21.46888881,-123.1118143,103.9984681,-168.334124,52.14415451,-119.4735837,0
23:58:30:202,-3.002025489,-24.85328785,167.7143682,-162.5140807,67.47811913,-115.5417814,0
23:58:30:454,-60.65694943,53.45394906,32.16120694,-164.3653502,52.52478223,-135.5852101,0
23:58:30:707,23.65365865,20.87425547,-127.5034616,-134.9065513,77.94077648,-114.137414,0
23:58:30:959,-24.05544851,134.9139434,-28.04886832,-128.3494294,68.93463662,-111.6219809,0
23:58:31:212,-43.99862675,11.42190684,132.6944936,-165.3475198,39.3571539,-134.1548627,0
23:58:31:464,-5.710838502,-67.60010194,1.034848291,-164.7123503,50.81383542,-130.6990928,0
23:58:31:716,-25.47779444,118.364208,6.760442242,-141.5335337,50.18541255,-133.0967526,0
23:58:31:969,53.54972477,3.548096549,51.12910641,-160.8293897,47.74870043,-122.774815,0
23:58:32:221,-1.945053395,-112.167375,-74.41460325,-174.4203191,84.29571565,-109.9757976,0
23:58:32:474,9.696245603,-31.59352998,-14.53469702,-147.5877476,98.88493372,-117.4379567,0
23:58:32:725,71.67883952,2.021716629,-39.26486514,-150.9153374,61.57109308,-118.3845243,0
23:58:32:978,-46.72447583,25.0782151,-11.20320502,-177.6079572,52.16480014,-113.869696,0
23:58:33:229,52.24816785,-19.73064183,87.44635038,-174.3037964,64.30956667,-113.7588274,0
23:58:33:483,103.6068149,18.68571785,-66.5274648,-154.6810198,53.73905664,-124.5201727,0
23:58:33:735,-43.14977345,78.74800282,-165.6018453,-152.331797,65.54741587,-129.7226472,0
23:58:33:988,-77.70802973,8.868261349,-142.3065251,-167.511658,72.31459819,-126.9608322,0
23:58:34:240,-75.97311554,-20.02774503,-83.92808385,-159.2660697,50.19665343,-131.9681254,0
