time,ax,ay,az,gx,gy,gz,sw420
23:58:03:034,²ax,ay,az,gx,gy,gz,sw420
23:59:09:060,-148,-356,15024,-149,61,-128,0
23:59:09:312,-172,-360,14984,-138,66,-127,0
23:59:09:565,-104,-392,14980,-164,59,-134,0
23:59:09:817,-116,-364,14988,-150,91,-132,0
23:59:10:069,-208,-352,14976,-153,58,-139,0
23:59:10:321,-148,-428,14988,-170,56,-99,0
23:59:10:574,-168,-424,15012,-158,73,-105,0
23:59:10:827,-228,-368,15188,-166,63,-128,0
23:59:11:079,-144,-280,14940,-146,45,-133,0
23:59:11:331,-160,-444,15036,-167,46,-109,0
23:59:11:584,-120,-416,14928,-128,57,-116,0
23:59:11:836,-176,-440,14936,-146,68,-121,0
23:59:12:088,-180,-392,14904,-157,70,-120,0
23:59:12:340,-216,-368,15060,-158,90,-108,0
23:59:12:593,-264,-384,15196,-133,57,-132,0
23:59:12:844,-216,-420,15084,-162,61,-95,0
23:59:13:097,-168,-308,14932,-142,73,-105,0
23:59:13:349,-44,-324,15060,-163,76,-112,0
23:59:13:602,-192,-404,15192,-139,66,-126,0
23:59:13:854,-240,-296,15020,-165,47,-114,0
23:59:14:107,-200,-372,14972,-155,58,-129,0
23:59:14:359,-144,-392,14980,-160,59,-125,0
23:59:14:611,-188,-348,14996,-150,72,-110,0
23:59:14:864,-124,-404,15000,-149,45,-119,0
23:59:15:116,-216,-384,14948,-138,57,-133,0
23:59:15:368,-220,-332,15024,-142,59,-129,0
23:59:15:621,-240,-320,15052,-149,66,-127,0
23:59:15:873,-144,-440,15044,-158,53,-131,0
23:59:16:125,-144,-436,15040,-163,77,-108,0
23:59:16:378,-144,-296,15008,-145,50,-111,0
23:59:16:630,-112,-464,14864,-156,58,-143,0
23:59:16:882,-272,-416,14992,-142,61,-101,0
23:59:17:135,-164,-368,15008,-162,48,-126,0
23:59:17:386,-72,-368,15132,-172,42,-105,0
23:59:17:639,-140,-396,15032,-163,78,-131,0
23:59:17:890,-192,-424,15016,-156,54,-121,0
23:59:18:143,-288,-368,14984,-167,61,-123,0
23:59:18:395,-248,-356,15036,-143,58,-129,0
23:59:18:646,-80,-420,14936,-173,70,-114,0
23:59:18:900,-168,-392,15128,-160,52,-105,0
23:59:19:152,-216,-284,14908,-174,80,-111,0
23:59:19:406,-112,-244,15072,-157,-69,-113,0
23:59:19:657,-176,-364,14712,-159,47,-124,0
23:59:19:908,-72,-332,15152,-162,48,-108,0
23:59:20:162,-160,-356,14912,-155,73,-116,0
23:59:20:414,-220,-248,14988,-143,37,-108,0
23:59:20:666,-184,-352,15164,-153,60,-136,0
23:59:20:919,-192,-440,14972,-148,42,-122,0
23:59:21:171,-232,-344,14952,-116,59,-124,0
23:59:21:423,-252,-284,14992,-187,74,-132,0
23:59:21:675,-220,-420,15108,-160,62,-124,0
23:59:21:928,-260,-388,14932,-155,96,-119,0
23:59:22:180,-216,-200,14876,-157,54,-122,0
23:59:22:432,-244,-404,15024,-169,68,-116,0
23:59:22:686,-204,244,15196,-202,-209,-143,0
23:59:22:941,-1004,-612,15332,-1192,-1608,-91,0
23:59:23:192,-5656,-1648,-5548,-101,-91,-153,1
23:59:23:444,-1436,-388,20448,968,1674,-143,1
23:59:23:699,-2456,7900,25424,-1825,-1798,-105,1
