sample_id,RMS,Std,Kurtosis,Skewness,Crest_Factor,Shape_Factor,Energy,AR1,AR2,AR_Residual_Std,Corr_XZ,Corr_YZ,Band1_Energy,Band2_Energy,Band3_Energy,Band4_Energy,Spectral_Centroid,Spectral_Entropy
2238,410.68081303962816,407.3828543274741,-1.0264309614944458,-0.2252654411130211,1.5076387314449589,1.2205055977507238,13492698.4159112,0.03172601945777524,0.06605065954465428,411.9635305067694,-0.24411203380896807,-0.5557220747954156,0.296873833375783,0.21345114900952303,0.22399219328792871,0.26568282432676543,0.9714859771583942,3.4237916024080275
2278,438.85499100373687,437.58278930963456,-1.26025088258743,-0.21518753533637167,1.4108493983029278,1.1767626200721142,15407496.2503112,0.035138316009949794,-0.005749878208281175,442.9183711057613,-0.2667639827180504,-0.4425373879891556,0.273511361273304,0.22365172387456173,0.2908475816260345,0.21198933322609972,0.9388817857465785,3.2725572682255626
2318,315.33432596038443,312.33459222442843,0.3983083843491113,-0.4173117582456578,1.9634979417927017,1.4145401974080016,7954858.970311199,-0.15036351757521735,0.032013672628227886,311.14073485303766,-0.22284381501652104,-0.2778903056697593,0.21989679998048112,0.20350926379059345,0.25862288389333843,0.31797105233558687,0.9951986003510457,3.352774870312848
2358,84.884448097929,79.63351995234169,-0.17633872679971763,0.12077955232876629,2.931534640039417,1.2702773935552432,576429.5623112001,0.10699231323672415,0.19766649273125309,79.44579950688723,0.15136431876644424,0.015429006994859142,0.44493121979758626,0.14000585566926493,0.21856555353197793,0.1964973710011708,0.9125209038593226,3.0860599689824477
2398,90.04465452701788,83.5442248153635,0.2697353899405255,0.22063306371963176,3.074493443879295,1.3083406952421857,648643.1847112001,0.2896594217108411,0.14110127648602094,82.4584580614974,0.07683606621284174,0.18591291672430393,0.5087451506423266,0.19473361274142537,0.1461589667596943,0.15036226985655374,0.836163450077144,2.9129025174647283
2438,96.73107090738736,82.72067456204647,0.0116677869297237,-0.12186549982244106,2.8619728635566193,1.2146547408463775,748552.0063112001,0.42643980467838605,0.09350346325325502,78.75651235016551,-0.15188884250042023,0.057642077236171076,0.635499844523882,0.1625203727678452,0.11523618396615509,0.08674359874211769,0.758480511625672,2.5501968537725865
2517,78.82863267170121,69.9256569507931,-0.8944231572790691,0.060222716738302845,2.446340796026313,1.2093718612822004,497116.2663112,0.24811573086762728,0.1541182895506517,69.62266979754753,0.05666778934059336,0.07040097084604803,0.5416549986309315,0.1978341791159247,0.12285770885444834,0.13765311339869538,0.8550615883930579,2.7309603314693467
2557,127.13511379194183,113.96907475275914,6.5213223108588885,2.0551408456385274,4.600158701683632,1.5103926354039863,1293066.9727112,0.5134652331016241,0.2066422593886006,105.78762600975766,-0.16339339741167583,0.0664030493484801,0.5445672783568093,0.26663248235645626,0.09796554625456377,0.09083469303217065,0.7638084459452243,2.830658970918376
2597,291.17434409454756,272.0283073505403,0.6371167143270409,-0.20017081501764086,2.1264177718856296,1.3877628358106,6782599.8927112,0.09398450634091747,0.12296716511826758,278.3302280855939,0.08890992382985852,-0.4382421708565688,0.3991113523847955,0.20304519226432405,0.2309079870452221,0.16693546830565822,0.8976368379606471,3.072586418637578
2637,407.3314359571208,386.1165497618563,-0.7262857111880421,-0.5140527982874437,1.5200356401292485,1.204504116143146,13273511.8975112,0.018984950273194814,0.15034174118906743,388.7193817013393,0.006399497832713837,-0.4914685141537624,0.35810001005815756,0.20152833546939405,0.15869289209643508,0.28167876237601336,0.9548236708685901,3.1655498816811036
2677,361.68817370614977,339.78933179250936,-0.14113290119295874,-0.4656382727463034,1.711856635110382,1.3256581692242304,10465466.7999112,0.07308638605288233,0.23630236074258204,340.5406514048612,-0.09060723163738837,-0.3514263435925938,0.42900526490658314,0.16476333444409763,0.16517023558187924,0.24106116506744,0.93452357197986,3.0978587801239708
2757,203.07425220566492,181.9962568296392,4.0894039920175445,0.3318037008979468,3.048925667704235,1.562712989825004,3299132.1527112,0.5488768180612099,0.06437857185238745,141.77800574569028,-0.15514740727067033,0.006974275372183888,0.6439539119593161,0.07828370622473939,0.18895181070647288,0.08881057110947188,0.7849550479409692,2.8747316444515048
2797,97.12109075216362,79.70682216723986,-0.29455530650580863,-0.08352265648349802,2.31506563876559,1.225831183308752,754600.5015112001,0.3334143207201163,0.13355021960112906,84.09479031312638,-0.10180875385747806,0.011952484173314832,0.6183646181404906,0.1870189204215054,0.08067583581865184,0.11394062561935227,0.8340067677538983,2.359358691010163
2837,242.9357504133346,238.93785279858864,1.8472374276122654,-0.5617636920755561,2.5486504104327987,1.4338959774390945,4721422.3063112,-0.029097951662390972,-0.005892345520676647,241.42650654325058,-0.2103944618720729,-0.4853555126758569,0.26875680250574335,0.21477844861864562,0.3064288548218163,0.21003589405379483,0.9746934079365398,3.2860681711202027
2877,319.8562896503522,315.61891182246984,-0.1683102770945779,-0.3491445934825502,1.9357390179090534,1.2886086082528123,8184643.6823112,0.04871868807682751,0.09464483881114899,317.0774774864643,-0.18712466005438105,-0.5240084180550636,0.35169265205093136,0.17919469690413606,0.2662270087153233,0.20288564232960915,0.9592137241395795,3.0972084710642775
2917,313.3647063548957,297.2180975310891,-0.027173031791040803,-0.25586022710120154,1.9758392934607818,1.3056726213186902,7855795.1351112,-0.011116377572500358,0.14389724761951925,294.16660165897144,-0.03552199035109631,-0.49052922023724016,0.32875670236646093,0.15769551660189152,0.2849652336628574,0.22858254736879016,0.9769571049209875,3.17765904469547
2957,252.49120129004493,236.8849879160771,0.9275185010949212,0.0344777608164658,2.4521975294042324,1.3832954016311163,5100144.538311199,-0.08712667615342615,0.09161018745332397,231.0273209549028,0.07255780912231863,-0.437759057959517,0.3472298373774488,0.13222311860659414,0.3184097689402722,0.20213727507568482,0.9860354812313052,3.0415472707202524
3036,135.0718430646817,124.11445322765597,4.994519440088507,-0.8126021360013402,3.767192987482631,1.3316232528153455,1459552.2231112001,0.22590497389013067,-0.06571200614303392,106.1884206510745,-0.13174852094870312,-0.17707441806335517,0.498911331708162,0.16016494210251767,0.28584550908950435,0.05507821709981595,0.8090207995733482,2.8966383363333357
3076,100.79205106996285,79.19943181614373,0.21151227209685874,0.19573429085939922,2.7863477032011237,1.26297883353499,812723.0047112,0.26970300832348076,0.38278907355720787,79.87152874875557,-0.1261866158680304,0.1389592773739784,0.7279400828162508,0.08851689720581074,0.07354530902235784,0.1099977109555804,0.7821441724289203,2.1671202203099975
